,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,y_prednew
0,1,CASH_OUT,229133.94,C905080434,15325.0,0.0,C476402209,5083.0,51513.44,0
1,1,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,6267.0,2719172.89,0
2,1,PAYMENT,7413.54,C1470868839,297689.58,290276.03,M1426725223,0.0,0.0,0
3,1,PAYMENT,6660.33,C893523498,17710.0,11049.67,M1770070706,0.0,0.0,0
4,1,TRANSFER,26923.42,C1108517064,11049.67,0.0,C1983747920,199404.91,95508.95,0
5,1,TRANSFER,53783.57,C511354923,0.0,0.0,C1899073220,75514.0,420946.86,0
6,1,TRANSFER,80333.28,C992743048,0.0,0.0,C1749186397,321592.98,277515.05,0
7,1,TRANSFER,211075.91,C1540894701,0.0,0.0,C564160838,930082.81,1254956.07,0
8,1,TRANSFER,100677.86,C203149502,0.0,0.0,C1531333864,701567.56,55974.56,0
9,1,TRANSFER,473499.51,C1198197478,0.0,0.0,C453211571,883248.39,3461666.05,0
10,1,TRANSFER,1538200.39,C476579021,0.0,0.0,C1590550415,6977445.38,19200000.0,0
11,1,TRANSFER,2421578.09,C106297322,0.0,0.0,C1590550415,8515645.77,19200000.0,0
12,1,TRANSFER,1349670.68,C1419332030,0.0,0.0,C665576141,1538085.96,5515763.34,0
13,1,TRANSFER,314403.14,C1262110193,0.0,0.0,C1789550256,888232.25,4619798.56,0
14,1,TRANSFER,1457213.54,C396918327,0.0,0.0,C1590550415,10900000.0,19200000.0,0
15,1,TRANSFER,180368.84,C1055601039,0.0,0.0,C1359044626,1437353.34,16518.36,0
16,1,TRANSFER,445038.71,C547441493,0.0,0.0,C1531333864,802245.42,55974.56,0
17,1,TRANSFER,1123206.66,C967677821,0.0,0.0,C451111351,1773963.18,3940085.21,0
18,1,DEBIT,996.0,C1839206329,46132.0,45136.0,C998351292,88106.55,1015132.48,0
19,1,TRANSFER,176334.26,C169880779,45136.0,0.0,C1286084959,1251626.46,2107778.11,0
20,1,TRANSFER,161217.61,C552674617,0.0,0.0,C909295153,199733.0,5602234.95,0
21,1,TRANSFER,108443.61,C1974622245,0.0,0.0,C240650537,246974.3,0.0,0
22,1,TRANSFER,75442.68,C402808045,0.0,0.0,C1318822808,80469.0,500631.71,0
23,1,TRANSFER,55536.86,C332365138,0.0,0.0,C392292416,915902.37,3420103.09,0
24,1,TRANSFER,438437.09,C977160959,0.0,0.0,C248609774,740675.45,6453430.91,0
25,1,TRANSFER,928722.69,C1563053805,0.0,0.0,C985934102,1259119.8,971418.91,0
26,1,TRANSFER,1478772.04,C1464177809,0.0,0.0,C1170794006,1652668.12,22190.99,0
27,1,TRANSFER,2545478.01,C1057507014,0.0,0.0,C1590550415,12400000.0,19200000.0,0
28,1,TRANSFER,2061082.82,C2007599722,0.0,0.0,C1590550415,14900000.0,19200000.0,0
29,1,TRANSFER,983479.66,C2029780820,0.0,0.0,C1170794006,3131440.16,22190.99,0
30,1,TRANSFER,635507.97,C65080774,0.0,0.0,C747464370,834457.23,1567434.81,0
31,1,TRANSFER,848231.57,C2116179210,0.0,0.0,C1170794006,4114919.82,22190.99,0
32,1,TRANSFER,739112.93,C1172535934,0.0,0.0,C564160838,1141158.73,1254956.07,0
33,1,TRANSFER,324397.94,C1648700617,0.0,0.0,C932583850,373058.79,2719172.89,0
34,1,TRANSFER,982862.81,C1765900922,0.0,0.0,C985934102,2187842.49,971418.91,0
35,1,TRANSFER,955855.0,C94830685,0.0,0.0,C248609774,1179112.54,6453430.91,0
36,1,TRANSFER,179253.24,C1539947037,0.0,0.0,C1870252780,179614.1,46462.23,0
37,1,PAYMENT,5446.88,C270661321,666.0,0.0,M1964434661,0.0,0.0,0
38,1,PAYMENT,648.64,C1217312754,873.0,224.36,M1585571244,0.0,0.0,0
39,1,PAYMENT,8494.71,C1099552523,11129.0,2634.29,M66724371,0.0,0.0,0
40,1,CASH_OUT,373068.26,C1047934137,20034.0,0.0,C1286084959,1427960.73,2107778.11,0
41,1,CASH_IN,143236.26,C1862994526,0.0,143236.26,C1688019098,608932.17,97263.78,0
42,1,CASH_IN,228451.89,C1614133563,143236.26,371688.15,C2083562754,719678.38,1186556.81,0
43,1,CASH_IN,35902.49,C839771540,371688.15,407590.65,C2001112025,49003.3,0.0,0
44,1,CASH_IN,232953.64,C1037163664,407590.65,640544.28,C33524623,1172672.27,1517262.16,0
45,1,CASH_IN,65912.95,C180316302,640544.28,706457.23,C1330106945,104198.26,24044.18,0
46,1,CASH_IN,193492.68,C1200546947,706457.23,899949.91,C1531333864,1247284.13,55974.56,0
47,1,CASH_IN,60836.64,C443713699,899949.91,960786.56,C488044861,143436.0,5203.54,0
48,1,CASH_IN,62325.15,C695530017,960786.56,1023111.71,C564160838,1880271.66,1254956.07,0
49,1,CASH_IN,349640.51,C1493042329,1023111.71,1372752.22,C909295153,360950.61,5602234.95,0
50,1,CASH_IN,135324.19,C1751403001,1372752.22,1508076.41,C453211571,1356747.89,3461666.05,0
51,1,CASH_IN,380015.14,C1717433286,1508076.41,1888091.55,C401424608,1336470.16,1178808.14,0
52,1,CASH_IN,418688.27,C1756819670,1888091.55,2306779.82,C401424608,956455.03,1178808.14,0
53,1,CASH_IN,311023.52,C1078262677,2306779.82,2617803.34,C766572210,1477776.96,0.0,0
54,1,CASH_IN,151862.38,C178604517,2617803.34,2769665.72,C920011586,158858.48,0.0,0
55,1,CASH_IN,228710.05,C57624756,2769665.72,2998375.78,C1297685781,743792.14,16997.22,0
56,1,CASH_IN,220431.09,C1543518287,2998375.78,3218806.87,C451111351,2897169.84,3940085.21,0
57,1,CASH_IN,182861.45,C998242313,3218806.87,3401668.32,C485041780,192776.92,0.0,0
58,1,CASH_IN,231881.5,C464872674,3401668.32,3633549.82,C1509514333,894141.72,2415.16,0
59,1,CASH_IN,38071.17,C1659286984,3633549.82,3671620.98,C601893033,122487.0,54985.05,0
60,1,CASH_IN,87117.29,C1064905627,3671620.98,3758738.27,C75457651,501093.89,31469.78,0
61,1,CASH_IN,114271.72,C2072130509,3758738.27,3873009.99,C985934102,3170705.3,971418.91,0
62,1,CASH_IN,73199.1,C1260440107,3873009.99,3946209.08,C1749186397,401926.25,277515.05,0
